"","CUSTOMER_SK","TOTAL_No_Of_PURCHASE","TOTAL_REVENUE","RECENCY","TOTAL_No_of_VISITS","DISTINCT_PRODUCTS","AVERAGE_SPEND","CITY_NM","pkm$cluster"
"84",58645609,762,3087.04943,117,20,380,154.3524715,"HALIFAX",2
"85",59564039,786,3082.34933,110,47,333,65.58190064,"HALIFAX",2
"86",22301160,846,3078.68948,242,62,116,49.65628194,"HALIFAX",4
"87",54013758,871,3044.25981,243,77,229,39.53584169,"HALIFAX",2
"88",60664447,769,3037.92891,111,18,252,168.7738283,"NEPEAN",2
"89",21584436,921,3037.67976,109,290,253,10.47475779,"HALIFAX",6
"90",59504665,844,3021.13967,112,81,232,37.29802062,"DARTMOUTH",6
"91",37353924,851,3012.20962,248,37,402,81.41107081,"HALIFAX",2
"92",22286348,838,2999.48983,243,66,348,45.44681561,"HALIFAX",2
"93",41538512,1018,2990.94934,243,47,304,63.63722,"HALIFAX",2
"94",39317622,818,2985.4198,242,59,409,50.60033559,"HALIFAX",2
"95",36164600,803,2984.84953,242,32,281,93.27654781,"HALIFAX",2
"96",21561441,808,2977.52962,243,43,384,69.24487488,"HALIFAX",2
"97",22287906,645,2969.08912,246,37,302,80.24565189,"HALIFAX",2
"98",59502886,801,2967.23958,112,46,402,64.50520826,"HALIFAX",2
"99",58910480,769,2961.12929,109,40,365,74.02823225,"HALIFAX",2
"100",58299728,738,2951.37947,111,29,340,101.7717059,"HALIFAX",2
"101",59794466,782,2939.28965,109,108,448,27.21564491,"HALIFAX",6
"102",38988153,694,2921.99965,242,56,318,52.17856518,"HALIFAX",2
"103",60416645,1313,2920.79927,111,129,345,22.64185481,"HALIFAX",6
"104",59607596,933,2918.0196,110,25,301,116.720784,"HALIFAX",2
"105",60084673,770,2910.12971,111,40,327,72.75324275,"HALIFAX",2
"106",58657920,944,2908.04974,121,71,293,40.95844704,"HALIFAX",2
"107",59910413,677,2905.04927,121,56,243,51.87587982,"BEDFORD",6
"108",58266455,734,2873.95947,110,51,370,56.35214647,"HALIFAX",2
"109",59427733,1340,2846.25802,110,82,146,34.71046366,"HALIFAX",6
"110",39741082,899,2836.22993,119,35,474,81.03514086,"HALIFAX",2
"111",58831091,705,2826.33951,114,31,324,91.17224226,"HALIFAX",2
"112",22283777,742,2826.04942,244,38,273,74.36972158,"HALIFAX",2
"113",22448137,828,2825.67955,242,65,400,43.47199308,"HALIFAX",2
"114",58808222,859,2822.7295,109,59,335,47.84287288,"HALIFAX",2
"115",59566474,844,2812.77986,110,75,343,37.50373147,"HALIFAX",6
"116",59752418,899,2795.93989,109,94,369,29.74404138,"HALIFAX",6
"117",59920039,730,2791.36955,111,79,142,35.33379177,"HALIFAX",6
"118",21173320,794,2785.36975,243,56,279,49.73874554,"HALIFAX",2
"119",59577999,792,2775.90983,109,97,407,28.61762711,"CHARLOTTET",6
"120",59579364,1021,2763.80967,109,93,326,29.71838355,"HALIFAX",6
"121",23635344,686,2757.6697,242,36,303,76.60193611,"HALIFAX",2
"122",58283072,829,2734.32965,110,42,308,65.1030869,"HALIFAX",2
"123",22114167,1360,2726.8282,242,80,137,34.0853525,"HALIFAX",2
"124",21621964,657,2720.54928,244,56,242,48.58123714,"HALIFAX",4
"125",51835173,761,2719.77969,243,29,315,93.78550655,"HALIFAX",2
"126",62349068,716,2716.34969,112,26,418,104.4749881,"HALIFAX",2
"127",59564876,770,2715.68967,111,37,476,73.39701811,"HALIFAX",2
"128",59106914,657,2713.51942,110,21,413,129.2152105,"HALIFAX",2
"129",58872822,816,2708.40963,111,49,373,55.27366592,"HALIFAX",2
"130",21432192,695,2700.90946,243,33,310,81.84574121,"HALIFAX",2
"131",22302616,946,2695.19967,243,75,318,35.9359956,"HALIFAX",2
"132",59459473,714,2685.96985,109,19,158,141.3668342,"HALIFAX",5
"133",35109326,815,2682.2198,111,69,421,38.87275072,"HALIFAX",2
"134",39314414,710,2681.13978,242,18,152,148.95221,"HALIFAX",5
"135",22208972,774,2680.98984,245,75,266,35.7465312,"DARTMOUTH",4
"136",22642065,782,2677.73959,247,21,294,127.511409,"HALIFAX",2
"137",58237558,703,2675.65963,113,25,266,107.0263852,"BEDFORD",2
"138",22562109,878,2672.90979,255,25,491,106.9163916,"HALIFAX",2
"139",61373866,728,2671.21976,109,87,232,30.7036754,"HALIFAX",6
"140",58341594,646,2670.44962,112,60,274,44.50749367,"HALIFAX",6
"141",59531190,859,2664.30963,117,46,301,57.91977457,"HALIFAX",2
"142",59427703,1048,2662.05978,109,127,316,20.96110063,"HALIFAX",6
"143",22114791,781,2648.40958,243,100,334,26.4840958,"HALIFAX",2
"144",58474854,653,2647.79949,110,61,280,43.40654902,"HALIFAX",6
"145",21272846,667,2645.62964,262,11,365,240.5117855,"CHESTER",2
"146",59829841,858,2641.21969,114,23,289,114.8356387,"HALIFAX",2
"147",40047305,717,2639.64956,242,38,391,69.46446211,"HALIFAX",2
"148",58890296,685,2632.40934,118,23,268,114.45258,"HALIFAX",5
"149",21452032,689,2629.85929,244,17,259,154.6976053,"HALIFAX",2
