"","ITEM_SK","TOTAL_REVENUE","BASKETS","DISTINCT_CUSTOMERS","AVERAGE_PRICE","PRODUCT_NAME","PRODUCT_CAT","pkm$cluster"
"1493",11672403,1668.67995,408,191,3.763899803,"Fruit And D","Grocery",2
"1494",11742708,1668.46998,489,297,3.238281987,"Tomatoes","Produce",2
"1495",11623681,1667.84976,353,137,2.862331339,"Rice","Grocery",2
"1496",15722923,1667.46996,554,308,2.854837518,"Cooking Veg","Produce",2
"1497",11643483,1667.07,620,343,2.506978998,"Salted Snac","Grocery",2
"1498",14471852,1664.49992,272,151,6.040703556,"Dairy Chees","Dairy",1
"1499",14944180,1664.34999,363,191,4.514848478,"Deli Cheese","Deli",1
"1500",14900570,1661.76988,522,222,2.14610469,"Water","Grocery",2
"1501",11824991,1661.34994,324,157,4.666522562,"Frozen Pizz","Frozen Groce",1
"1502",11703784,1661.17994,487,257,3.155453149,"Other Dairy","Dairy",2
"1503",14325700,1660.55995,650,138,1.68722307,"Milk Produc","Dairy",2
"1504",11698574,1660.02994,312,171,5.173946153,"Processed","Meat",1
"1505",12785728,1659.89844,170,104,9.478562545,"Boxed Meat","Meat",4
"1506",11601351,1657.69994,273,152,5.882622467,"Dairy Chees","Dairy",1
"1507",15164973,1657.66,354,184,4.551581921,"Paper","Grocery",1
"1508",12466446,1657.53999,408,201,3.959475835,"Refrigerate","Dairy",1
"1509",14091911,1656.92999,646,254,2.272692504,"Chips","Grocery",2
"1510",13886963,1656.77949,174,73,7.696692961,"Smoked / Sa","Seafood",4
"1511",11730374,1656.5,440,228,3.65825,"Salted Snac","Grocery",2
"1512",12785772,1656.31999,737,315,2.004577655,"Frozen Vege","Frozen Groce",2
"1513",13966658,1654.72,569,341,2.756344464,"Potatoes","Produce",2
"1514",11830657,1654.02998,244,85,6.534665266,"Frozen Ice ","Frozen Groce",1
"1515",11703582,1652.99999,451,175,3.504730222,"Chips","Grocery",2
"1516",12222158,1652.83939,178,111,9.001946017,"Shell Fish ","Seafood",4
"1517",11646263,1652.3794,222,135,7.30801545,"Paper","Grocery",4
"1518",15253017,1651.91992,351,94,3.74524755,"Organic &Na","Grocery",1
"1519",11674840,1651.79994,344,128,4.184883663,"Bistro","Home Meal Re",1
"1520",11751303,1650.12906,181,116,8.90218655,"Spreads And","Grocery",4
"1521",11697143,1649.75859,165,87,9.907627909,"Organic &Na","Grocery",4
"1522",14875969,1649.65869,165,92,9.664598455,"Boxed Meat","Meat",4
